,Population
0,3.0
1,11.0
2,0.0
3,0.0
4,12.0
5,11.0
6,0.0
7,0.0
8,15.0
9,8.0
10,0.0
11,0.0
12,11.0
13,11.0
14,0.0
15,0.0
16,12.0
17,17.0
18,7.0
19,12.0
20,7.0
21,12.0
22,0.0
23,12.0
24,12.0
25,11.0
26,0.0
27,12.0
28,0.0
29,7.0
30,4.0
31,14.0
32,11.0
33,14.0
34,0.0
35,7.0
36,14.0
37,2.0
38,0.0
39,14.0
40,24.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,12.0
47,3.0
48,14.0
49,24.0
50,0.0
51,12.0
52,12.0
53,0.0
54,12.0
55,13.0
56,12.0
57,13.0
58,24.0
59,0.0
60,11.0
61,14.0
62,0.0
63,14.0
64,9.0
65,11.0
66,0.0
67,0.0
68,0.0
69,1.0
70,13.0
71,14.0
72,8.0
73,7.0
74,0.0
75,11.0
76,0.0
77,0.0
78,12.0
79,14.0
80,8.0
81,0.0
82,0.0
83,14.0
84,0.0
85,0.0
86,8.0
87,14.0
88,12.0
89,12.0
90,0.0
91,12.0
92,0.0
93,11.0
94,0.0
95,12.0
96,12.0
97,0.0
98,12.0
99,0.0
100,0.0
101,11.0
102,14.0
103,11.0
104,4.0
105,14.0
106,14.0
107,0.0
108,24.0
109,12.0
110,0.0
111,12.0
112,11.0
113,0.0
114,13.0
115,11.0
116,11.0
117,0.0
118,0.0
119,12.0
120,8.0
121,11.0
122,14.0
123,14.0
124,4.0
125,0.0
126,11.0
127,0.0
128,7.0
129,12.0
130,14.0
131,18.0
132,0.0
133,0.0
134,13.0
135,12.0
136,13.0
137,0.0
138,0.0
139,0.0
140,0.0
141,3.0
142,12.0
143,8.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,14.0
150,8.0
151,14.0
152,8.0
153,0.0
154,14.0
155,13.0
156,0.0
157,0.0
158,0.0
159,13.0
160,0.0
161,0.0
162,23.0
163,7.0
164,0.0
165,14.0
166,0.0
167,4.0
168,11.0
169,0.0
170,20.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,14.0
178,19.0
179,14.0
180,0.0
181,12.0
182,7.0
183,0.0
184,8.0
185,6.0
186,14.0
187,14.0
188,0.0
189,14.0
190,0.0
191,19.0
192,14.0
193,12.0
194,0.0
195,0.0
196,7.0
197,12.0
198,11.0
199,0.0
200,0.0
201,8.0
202,0.0
203,7.0
204,14.0
205,4.0
206,11.0
207,0.0
208,11.0
209,1.0
210,0.0
211,0.0
212,20.0
213,12.0
214,7.0
215,9.0
216,0.0
217,20.0
218,13.0
219,7.0
220,0.0
221,0.0
222,12.0
223,3.0
224,12.0
225,14.0
226,0.0
227,0.0
228,11.0
229,12.0
230,11.0
231,14.0
232,0.0
233,12.0
234,0.0
235,1.0
236,14.0
237,7.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,12.0
245,12.0
246,0.0
247,11.0
248,11.0
249,7.0
250,0.0
251,0.0
252,0.0
253,12.0
254,0.0
255,4.0
256,14.0
257,0.0
258,12.0
259,11.0
260,0.0
261,11.0
262,0.0
263,14.0
264,14.0
265,7.0
266,7.0
267,14.0
268,0.0
269,20.0
270,19.0
271,0.0
272,0.0
273,11.0
274,8.0
275,13.0
276,24.0
277,24.0
278,8.0
279,0.0
280,8.0
281,0.0
282,12.0
283,1.0
284,0.0
285,0.0
286,19.0
287,0.0
288,12.0
289,14.0
