,Population
0,19.0
1,11.0
2,8.0
3,11.0
4,11.0
5,0.0
6,4.0
7,0.0
8,1.0
9,13.0
10,24.0
11,0.0
12,12.0
13,12.0
14,0.0
15,7.0
16,0.0
17,0.0
18,0.0
19,14.0
20,24.0
21,12.0
22,0.0
23,12.0
24,8.0
25,3.0
26,12.0
27,14.0
28,24.0
29,0.0
30,0.0
31,0.0
32,4.0
33,12.0
34,24.0
35,24.0
36,12.0
37,11.0
38,0.0
39,0.0
40,7.0
41,8.0
42,14.0
43,4.0
44,12.0
45,12.0
46,0.0
47,13.0
48,0.0
49,11.0
50,0.0
51,7.0
52,0.0
53,8.0
54,0.0
55,4.0
56,12.0
57,0.0
58,14.0
59,12.0
60,0.0
61,8.0
62,7.0
63,0.0
64,0.0
65,1.0
66,12.0
67,0.0
68,0.0
69,0.0
70,12.0
71,0.0
72,14.0
73,8.0
74,12.0
75,7.0
76,0.0
77,12.0
78,7.0
79,0.0
80,7.0
81,0.0
82,14.0
83,9.0
84,8.0
85,7.0
86,20.0
87,0.0
88,14.0
89,0.0
90,0.0
91,11.0
92,0.0
93,14.0
94,0.0
95,0.0
96,0.0
97,12.0
98,0.0
99,11.0
100,12.0
101,7.0
102,14.0
103,7.0
104,7.0
105,17.0
106,0.0
107,24.0
108,0.0
109,12.0
110,14.0
111,11.0
112,19.0
113,8.0
114,12.0
115,8.0
116,0.0
117,14.0
118,7.0
119,9.0
120,0.0
121,14.0
122,0.0
123,3.0
124,8.0
125,13.0
126,0.0
127,11.0
128,4.0
129,11.0
130,7.0
131,11.0
132,0.0
133,12.0
134,7.0
135,24.0
136,0.0
137,7.0
138,0.0
139,7.0
140,7.0
141,11.0
142,0.0
143,13.0
144,12.0
145,24.0
146,18.0
147,0.0
148,4.0
149,0.0
150,8.0
151,0.0
152,14.0
153,0.0
154,0.0
155,0.0
156,7.0
157,11.0
158,7.0
159,12.0
160,8.0
161,14.0
162,7.0
163,11.0
164,0.0
165,0.0
166,7.0
167,8.0
168,12.0
169,0.0
170,8.0
171,0.0
172,8.0
173,0.0
174,12.0
175,0.0
176,24.0
177,0.0
178,8.0
179,24.0
180,7.0
181,24.0
182,7.0
183,19.0
184,0.0
185,14.0
186,0.0
187,7.0
188,14.0
189,0.0
190,11.0
191,7.0
192,12.0
193,0.0
194,0.0
195,7.0
196,0.0
197,12.0
198,12.0
199,20.0
200,17.0
201,11.0
202,4.0
203,7.0
204,0.0
205,7.0
206,4.0
207,24.0
