,Population
0,8.0
1,12.0
2,14.0
3,0.0
4,0.0
5,0.0
6,24.0
7,11.0
8,0.0
9,0.0
10,0.0
11,14.0
12,0.0
13,8.0
14,7.0
15,0.0
16,12.0
17,7.0
18,0.0
19,7.0
20,14.0
21,12.0
22,7.0
23,19.0
24,12.0
25,14.0
26,12.0
27,0.0
28,0.0
29,12.0
30,11.0
31,7.0
32,14.0
33,0.0
34,7.0
35,0.0
36,7.0
37,7.0
38,0.0
39,7.0
40,12.0
41,14.0
42,8.0
43,14.0
44,12.0
45,0.0
46,12.0
47,8.0
48,12.0
49,14.0
50,14.0
51,12.0
52,12.0
53,0.0
54,7.0
55,12.0
56,0.0
57,14.0
58,12.0
59,0.0
60,7.0
61,7.0
62,0.0
63,12.0
64,0.0
65,0.0
66,0.0
67,12.0
68,0.0
69,8.0
70,0.0
71,0.0
72,4.0
73,0.0
74,24.0
75,4.0
76,0.0
77,14.0
78,0.0
79,12.0
80,12.0
81,0.0
82,14.0
83,14.0
84,7.0
85,24.0
86,13.0
87,7.0
88,7.0
89,0.0
90,14.0
91,0.0
92,24.0
93,7.0
94,7.0
95,12.0
96,7.0
97,12.0
98,7.0
99,0.0
100,0.0
101,7.0
102,14.0
103,0.0
104,11.0
105,0.0
106,7.0
107,12.0
108,0.0
109,0.0
110,24.0
111,7.0
112,20.0
113,7.0
114,0.0
115,8.0
116,0.0
117,4.0
118,6.0
119,11.0
120,11.0
121,2.0
122,11.0
123,13.0
124,0.0
125,0.0
126,12.0
127,0.0
128,7.0
129,7.0
130,7.0
131,0.0
132,0.0
133,11.0
134,7.0
135,0.0
136,12.0
137,0.0
138,14.0
139,24.0
140,14.0
141,0.0
142,0.0
143,7.0
144,14.0
145,11.0
146,24.0
147,5.0
148,14.0
149,12.0
150,20.0
151,8.0
152,14.0
153,7.0
154,8.0
155,0.0
156,0.0
157,0.0
158,0.0
159,14.0
160,12.0
161,4.0
162,20.0
163,0.0
164,7.0
165,0.0
166,11.0
167,7.0
168,0.0
169,7.0
170,0.0
171,0.0
172,0.0
173,24.0
174,0.0
175,0.0
176,14.0
177,0.0
178,3.0
179,0.0
180,12.0
181,7.0
182,12.0
183,12.0
184,0.0
185,0.0
186,0.0
187,8.0
188,8.0
189,12.0
190,12.0
191,11.0
192,4.0
193,0.0
194,8.0
195,8.0
196,11.0
197,0.0
198,11.0
199,12.0
200,11.0
201,0.0
202,11.0
203,7.0
204,14.0
205,7.0
206,7.0
207,0.0
208,19.0
209,11.0
210,8.0
211,12.0
212,11.0
213,12.0
214,0.0
215,12.0
216,24.0
217,14.0
218,4.0
219,14.0
220,0.0
221,15.0
222,12.0
223,12.0
224,11.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,14.0
231,0.0
232,11.0
233,12.0
234,20.0
235,0.0
236,0.0
237,8.0
238,14.0
239,9.0
240,21.0
241,12.0
242,0.0
243,0.0
244,11.0
245,20.0
246,12.0
247,7.0
248,0.0
249,0.0
250,0.0
251,12.0
252,12.0
253,0.0
254,12.0
255,11.0
256,0.0
257,0.0
258,0.0
259,14.0
260,0.0
261,14.0
262,0.0
263,7.0
264,0.0
265,11.0
266,7.0
267,12.0
268,0.0
269,6.0
270,12.0
271,20.0
272,0.0
273,4.0
274,14.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,14.0
281,11.0
282,1.0
283,12.0
284,2.0
285,11.0
286,11.0
287,0.0
288,7.0
289,19.0
290,7.0
291,0.0
292,12.0
293,0.0
294,0.0
295,12.0
296,12.0
297,0.0
298,7.0
299,13.0
300,0.0
301,0.0
302,12.0
303,12.0
304,7.0
305,12.0
306,7.0
307,14.0
308,12.0
309,0.0
310,0.0
311,0.0
312,9.0
313,0.0
314,7.0
315,0.0
316,4.0
317,0.0
318,0.0
319,4.0
320,0.0
321,14.0
322,12.0
323,0.0
324,12.0
325,0.0
326,12.0
327,0.0
328,0.0
329,1.0
330,12.0
331,0.0
332,12.0
333,18.0
334,0.0
335,0.0
336,14.0
337,0.0
338,12.0
339,12.0
340,0.0
341,11.0
342,8.0
343,14.0
344,0.0
345,11.0
346,24.0
347,8.0
348,0.0
349,7.0
350,12.0
351,0.0
352,12.0
353,14.0
354,0.0
355,9.0
356,14.0
357,14.0
358,11.0
359,22.0
360,0.0
361,0.0
362,7.0
363,14.0
364,19.0
365,0.0
366,0.0
367,12.0
368,0.0
369,7.0
370,14.0
371,12.0
372,12.0
373,0.0
374,0.0
375,12.0
376,19.0
377,6.0
378,8.0
379,0.0
380,0.0
381,12.0
382,0.0
383,8.0
384,8.0
385,0.0
386,7.0
387,7.0
388,7.0
389,14.0
390,12.0
391,12.0
392,0.0
393,12.0
394,3.0
395,7.0
396,0.0
397,3.0
398,0.0
399,0.0
400,12.0
401,14.0
402,0.0
403,8.0
404,7.0
405,2.0
406,7.0
407,7.0
408,11.0
409,14.0
410,7.0
411,21.0
412,7.0
413,11.0
414,12.0
415,0.0
416,0.0
417,12.0
418,11.0
419,0.0
420,8.0
421,15.0
422,0.0
423,0.0
424,0.0
425,7.0
426,12.0
427,21.0
428,0.0
429,0.0
430,0.0
431,11.0
432,0.0
433,11.0
434,12.0
435,13.0
436,9.0
437,6.0
438,15.0
439,0.0
440,22.0
441,0.0
442,0.0
443,24.0
444,0.0
445,0.0
446,8.0
447,12.0
448,12.0
449,0.0
450,15.0
451,7.0
452,2.0
453,8.0
454,12.0
455,12.0
456,0.0
457,0.0
458,12.0
459,7.0
460,12.0
461,0.0
462,12.0
463,0.0
464,12.0
465,0.0
466,12.0
467,14.0
468,21.0
469,0.0
470,19.0
471,12.0
472,7.0
473,7.0
474,0.0
475,24.0
476,0.0
477,0.0
478,0.0
479,14.0
480,8.0
481,8.0
482,0.0
483,13.0
484,12.0
485,12.0
486,11.0
487,12.0
488,12.0
489,7.0
490,0.0
491,24.0
492,14.0
493,0.0
494,12.0
495,8.0
496,0.0
497,2.0
498,0.0
499,12.0
500,7.0
501,4.0
502,12.0
503,0.0
504,0.0
505,11.0
506,7.0
507,0.0
508,14.0
509,17.0
510,7.0
511,14.0
512,0.0
513,20.0
514,11.0
515,8.0
516,12.0
517,0.0
518,14.0
519,8.0
520,0.0
521,0.0
522,7.0
523,0.0
524,0.0
525,12.0
526,11.0
527,0.0
528,8.0
529,11.0
530,12.0
531,7.0
532,12.0
533,12.0
534,7.0
535,0.0
536,12.0
537,0.0
538,7.0
539,12.0
540,0.0
541,7.0
542,0.0
543,14.0
544,8.0
545,12.0
546,12.0
547,0.0
548,0.0
549,8.0
550,0.0
551,0.0
552,11.0
553,0.0
554,7.0
555,0.0
556,12.0
557,8.0
558,0.0
559,0.0
560,0.0
561,0.0
562,14.0
563,7.0
564,12.0
565,0.0
566,0.0
567,12.0
568,12.0
569,12.0
570,24.0
571,0.0
572,11.0
573,0.0
574,0.0
575,0.0
576,7.0
577,0.0
578,0.0
579,0.0
580,12.0
581,7.0
582,0.0
583,12.0
584,4.0
585,8.0
586,8.0
587,11.0
588,8.0
589,9.0
590,24.0
591,11.0
592,7.0
593,0.0
594,0.0
595,12.0
596,0.0
597,12.0
598,3.0
599,0.0
600,7.0
601,14.0
602,12.0
603,0.0
604,14.0
605,12.0
606,12.0
607,8.0
608,12.0
609,7.0
610,12.0
611,0.0
612,7.0
613,4.0
614,14.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,12.0
623,8.0
624,14.0
625,11.0
626,7.0
627,0.0
628,12.0
629,13.0
630,14.0
631,12.0
632,14.0
633,8.0
634,0.0
635,12.0
636,12.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,6.0
643,0.0
644,12.0
645,12.0
646,0.0
647,12.0
648,0.0
649,8.0
650,12.0
651,0.0
652,8.0
653,0.0
654,7.0
655,14.0
656,8.0
657,11.0
658,12.0
659,0.0
660,8.0
661,12.0
662,20.0
663,0.0
664,12.0
665,7.0
666,2.0
667,7.0
668,7.0
669,19.0
670,0.0
671,12.0
672,12.0
673,14.0
674,14.0
675,0.0
676,16.0
677,0.0
678,21.0
679,0.0
680,0.0
681,12.0
682,0.0
683,12.0
684,0.0
685,13.0
686,12.0
687,4.0
688,0.0
689,7.0
690,0.0
691,0.0
692,8.0
693,0.0
694,7.0
695,11.0
696,12.0
697,0.0
698,0.0
699,12.0
700,7.0
701,7.0
702,7.0
703,12.0
704,7.0
705,7.0
706,4.0
707,0.0
708,0.0
709,14.0
710,4.0
711,14.0
712,0.0
713,24.0
714,12.0
715,0.0
716,7.0
717,12.0
718,12.0
719,12.0
720,4.0
721,7.0
722,0.0
723,8.0
724,0.0
725,0.0
726,12.0
727,7.0
728,7.0
729,14.0
730,0.0
731,14.0
732,0.0
733,0.0
734,12.0
735,11.0
736,11.0
737,0.0
738,0.0
739,0.0
740,8.0
741,0.0
742,3.0
743,0.0
744,12.0
745,0.0
746,7.0
747,12.0
748,8.0
749,24.0
750,0.0
751,24.0
752,0.0
753,14.0
754,19.0
755,0.0
756,12.0
757,12.0
758,7.0
759,12.0
760,0.0
761,14.0
762,14.0
763,7.0
764,7.0
765,21.0
766,24.0
767,7.0
768,24.0
769,7.0
770,12.0
771,0.0
772,12.0
773,0.0
774,14.0
775,7.0
776,7.0
777,7.0
778,11.0
779,0.0
780,12.0
781,12.0
782,0.0
783,12.0
784,0.0
785,7.0
786,12.0
787,24.0
788,0.0
789,0.0
790,3.0
791,12.0
792,0.0
793,0.0
794,21.0
795,0.0
796,0.0
797,14.0
798,0.0
799,0.0
800,14.0
801,0.0
802,0.0
803,11.0
804,0.0
805,12.0
806,0.0
807,12.0
808,8.0
809,12.0
810,14.0
811,0.0
812,24.0
813,11.0
814,12.0
815,13.0
816,13.0
817,0.0
818,7.0
819,7.0
820,12.0
821,0.0
822,0.0
823,14.0
824,0.0
825,0.0
826,12.0
827,11.0
828,0.0
829,14.0
830,0.0
831,0.0
832,18.0
833,13.0
834,0.0
835,7.0
836,11.0
837,14.0
838,0.0
839,24.0
840,20.0
841,7.0
842,7.0
843,8.0
844,24.0
845,14.0
846,0.0
847,0.0
848,24.0
849,0.0
850,8.0
851,14.0
852,0.0
853,14.0
854,0.0
855,7.0
856,0.0
857,24.0
858,12.0
859,0.0
860,12.0
861,8.0
862,12.0
863,0.0
864,0.0
865,0.0
866,7.0
867,24.0
868,12.0
869,12.0
870,12.0
871,9.0
872,17.0
873,7.0
874,4.0
875,12.0
876,7.0
877,12.0
878,0.0
879,0.0
880,12.0
881,0.0
882,14.0
883,14.0
884,7.0
885,12.0
886,12.0
887,0.0
888,7.0
889,0.0
890,12.0
891,12.0
892,8.0
893,0.0
894,7.0
895,0.0
896,7.0
897,12.0
898,8.0
899,12.0
900,0.0
901,0.0
902,0.0
903,14.0
904,0.0
905,0.0
906,0.0
907,0.0
908,24.0
909,7.0
910,0.0
911,7.0
912,0.0
913,0.0
914,7.0
915,0.0
916,7.0
917,7.0
918,0.0
919,12.0
920,12.0
921,14.0
922,0.0
923,0.0
924,7.0
925,11.0
926,11.0
927,12.0
928,12.0
929,8.0
930,12.0
931,0.0
932,12.0
933,0.0
934,11.0
935,12.0
936,16.0
937,12.0
938,0.0
939,24.0
940,8.0
941,12.0
942,0.0
943,24.0
944,14.0
945,0.0
946,0.0
947,0.0
948,8.0
949,12.0
950,20.0
951,7.0
952,7.0
953,14.0
954,12.0
955,0.0
956,0.0
957,24.0
958,0.0
959,14.0
960,8.0
961,0.0
