,Population
0,12.0
1,14.0
2,0.0
3,8.0
4,0.0
5,0.0
6,9.0
7,12.0
8,0.0
9,7.0
10,11.0
11,0.0
12,12.0
13,11.0
14,0.0
15,8.0
16,0.0
17,8.0
18,12.0
19,9.0
20,7.0
21,8.0
22,0.0
23,0.0
24,0.0
25,20.0
26,0.0
27,7.0
28,7.0
29,12.0
30,0.0
31,7.0
32,7.0
33,4.0
34,20.0
35,14.0
36,11.0
37,2.0
38,24.0
39,0.0
40,0.0
41,12.0
42,0.0
43,0.0
44,11.0
45,0.0
46,0.0
47,0.0
48,0.0
49,13.0
50,7.0
51,0.0
52,0.0
53,7.0
54,2.0
55,0.0
56,0.0
57,12.0
58,0.0
59,12.0
60,12.0
61,12.0
62,8.0
63,7.0
64,11.0
65,0.0
66,3.0
67,0.0
68,0.0
69,0.0
70,14.0
71,14.0
72,12.0
73,0.0
74,0.0
75,0.0
76,0.0
77,12.0
78,6.0
79,7.0
80,8.0
81,0.0
82,0.0
83,11.0
84,12.0
85,0.0
86,7.0
87,0.0
88,8.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,11.0
95,0.0
96,20.0
97,0.0
98,11.0
99,11.0
100,7.0
101,8.0
102,11.0
103,15.0
104,0.0
105,0.0
106,12.0
107,1.0
108,1.0
109,0.0
110,0.0
111,11.0
112,2.0
113,12.0
114,7.0
115,12.0
116,12.0
117,12.0
118,14.0
119,0.0
120,0.0
121,7.0
122,0.0
123,7.0
124,0.0
125,7.0
126,0.0
127,14.0
128,12.0
129,24.0
130,7.0
131,7.0
132,0.0
133,11.0
134,12.0
135,7.0
136,13.0
137,0.0
138,0.0
139,14.0
140,0.0
141,11.0
142,0.0
143,0.0
144,12.0
145,12.0
146,0.0
147,0.0
148,7.0
149,14.0
150,15.0
151,7.0
152,12.0
153,8.0
154,14.0
155,14.0
156,12.0
157,12.0
158,1.0
159,7.0
160,8.0
161,14.0
162,12.0
163,0.0
164,13.0
165,8.0
166,11.0
167,9.0
168,0.0
169,0.0
170,12.0
171,0.0
172,24.0
173,14.0
174,0.0
175,7.0
176,13.0
177,11.0
178,0.0
179,12.0
180,11.0
181,11.0
182,0.0
183,8.0
184,12.0
185,13.0
186,7.0
187,0.0
188,12.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,7.0
195,0.0
196,0.0
197,0.0
198,12.0
199,0.0
200,0.0
201,12.0
202,0.0
203,0.0
204,0.0
205,1.0
206,0.0
207,14.0
208,20.0
209,0.0
210,8.0
211,24.0
212,8.0
213,0.0
214,4.0
215,12.0
216,12.0
217,11.0
218,0.0
219,7.0
220,11.0
221,13.0
222,11.0
223,12.0
224,0.0
225,12.0
226,14.0
227,12.0
228,7.0
229,19.0
230,0.0
231,12.0
232,14.0
233,8.0
234,13.0
235,12.0
236,8.0
237,0.0
238,0.0
239,9.0
240,0.0
241,0.0
242,0.0
243,14.0
244,7.0
245,7.0
246,12.0
247,8.0
248,8.0
249,14.0
250,0.0
251,12.0
252,12.0
253,18.0
254,0.0
255,0.0
256,8.0
257,8.0
258,13.0
