,Population
0,7.0
1,8.0
2,12.0
3,0.0
4,0.0
5,7.0
6,0.0
7,0.0
8,24.0
9,0.0
10,12.0
11,0.0
12,0.0
13,4.0
14,0.0
15,0.0
16,8.0
17,12.0
18,0.0
19,14.0
20,7.0
21,13.0
22,0.0
23,7.0
24,13.0
25,8.0
26,12.0
27,14.0
28,0.0
29,8.0
30,9.0
31,14.0
32,8.0
33,7.0
34,0.0
35,9.0
36,1.0
37,24.0
38,8.0
39,0.0
40,0.0
41,7.0
42,11.0
43,0.0
44,11.0
45,0.0
46,7.0
47,0.0
48,9.0
49,12.0
50,7.0
51,12.0
52,24.0
53,0.0
54,14.0
55,7.0
56,14.0
57,0.0
58,0.0
59,0.0
60,11.0
61,12.0
62,0.0
63,0.0
64,11.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,14.0
71,7.0
72,0.0
73,12.0
74,11.0
75,0.0
76,14.0
77,13.0
78,14.0
79,0.0
80,12.0
81,0.0
82,13.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,7.0
89,8.0
90,14.0
91,12.0
92,0.0
93,24.0
94,12.0
95,24.0
96,12.0
97,0.0
98,11.0
99,14.0
100,0.0
101,0.0
102,0.0
103,12.0
104,0.0
105,14.0
106,12.0
107,12.0
108,7.0
109,7.0
110,3.0
111,7.0
112,7.0
113,0.0
114,0.0
115,12.0
116,0.0
117,0.0
118,2.0
119,0.0
120,12.0
121,0.0
122,12.0
123,7.0
124,0.0
125,12.0
126,0.0
127,14.0
128,14.0
129,0.0
130,0.0
131,12.0
132,12.0
133,14.0
134,12.0
135,11.0
136,0.0
137,14.0
138,12.0
139,14.0
140,0.0
141,11.0
142,0.0
143,12.0
144,0.0
145,7.0
146,7.0
147,0.0
148,7.0
149,0.0
150,0.0
151,4.0
152,14.0
153,11.0
154,7.0
155,12.0
156,0.0
157,24.0
158,12.0
159,0.0
160,12.0
161,7.0
162,13.0
163,24.0
164,7.0
165,12.0
166,14.0
167,7.0
168,0.0
169,0.0
170,0.0
171,0.0
172,11.0
173,14.0
174,0.0
175,7.0
176,13.0
177,14.0
178,11.0
179,12.0
180,11.0
181,0.0
182,6.0
183,7.0
184,24.0
185,0.0
186,0.0
187,0.0
188,3.0
189,0.0
190,0.0
191,0.0
192,24.0
193,0.0
194,13.0
195,0.0
196,0.0
197,0.0
198,11.0
199,12.0
200,24.0
201,24.0
202,0.0
203,4.0
204,4.0
205,0.0
206,8.0
207,7.0
208,0.0
209,0.0
210,0.0
211,11.0
212,0.0
213,14.0
214,11.0
215,0.0
216,24.0
217,7.0
218,8.0
219,0.0
220,12.0
221,11.0
222,7.0
223,12.0
224,11.0
225,9.0
226,23.0
227,14.0
228,14.0
229,0.0
230,15.0
231,0.0
232,0.0
233,0.0
234,14.0
235,0.0
236,8.0
237,0.0
238,0.0
239,0.0
240,7.0
241,9.0
242,14.0
243,13.0
244,0.0
245,12.0
246,15.0
247,11.0
248,0.0
249,14.0
250,11.0
251,0.0
252,7.0
253,0.0
254,7.0
255,0.0
256,0.0
257,0.0
258,13.0
259,14.0
260,11.0
261,11.0
262,12.0
263,8.0
264,0.0
265,11.0
266,0.0
267,8.0
268,7.0
269,0.0
270,0.0
271,0.0
272,24.0
273,0.0
274,0.0
275,11.0
276,0.0
277,13.0
278,21.0
279,12.0
280,20.0
281,16.0
282,14.0
283,8.0
284,14.0
285,2.0
286,23.0
287,13.0
288,0.0
289,0.0
290,13.0
291,7.0
292,2.0
293,15.0
294,0.0
295,14.0
296,14.0
297,11.0
298,1.0
299,7.0
300,0.0
301,14.0
302,11.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,7.0
314,14.0
315,7.0
316,0.0
317,0.0
318,24.0
319,0.0
320,8.0
321,0.0
322,7.0
323,0.0
324,0.0
325,1.0
326,19.0
327,8.0
328,14.0
329,12.0
330,0.0
331,12.0
332,12.0
333,13.0
334,11.0
335,8.0
336,0.0
337,0.0
338,12.0
339,0.0
340,13.0
341,7.0
342,0.0
343,14.0
344,7.0
345,0.0
346,12.0
347,11.0
348,11.0
349,0.0
350,8.0
351,14.0
352,12.0
353,9.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,14.0
360,11.0
361,20.0
362,14.0
363,11.0
364,14.0
365,14.0
366,0.0
367,13.0
368,13.0
369,11.0
370,0.0
371,0.0
372,14.0
373,12.0
374,0.0
375,12.0
376,0.0
377,11.0
378,14.0
379,12.0
380,4.0
381,0.0
382,23.0
383,0.0
384,7.0
385,0.0
386,0.0
387,14.0
388,0.0
389,7.0
390,18.0
391,12.0
392,0.0
393,0.0
394,7.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,14.0
401,24.0
402,0.0
403,0.0
404,14.0
405,12.0
406,7.0
407,8.0
408,0.0
409,12.0
410,7.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,14.0
420,4.0
421,12.0
422,11.0
423,0.0
424,13.0
425,20.0
426,13.0
427,9.0
428,0.0
429,7.0
430,7.0
431,0.0
432,14.0
433,12.0
434,7.0
435,14.0
436,0.0
437,12.0
438,7.0
439,0.0
440,7.0
441,0.0
442,12.0
443,0.0
444,19.0
445,24.0
446,0.0
447,11.0
448,0.0
449,12.0
450,7.0
451,14.0
452,7.0
453,8.0
454,15.0
455,19.0
456,0.0
457,11.0
458,0.0
459,0.0
460,13.0
461,24.0
462,3.0
463,0.0
464,8.0
465,14.0
466,8.0
467,11.0
468,8.0
469,0.0
470,0.0
471,24.0
472,0.0
473,0.0
474,13.0
475,14.0
476,24.0
477,2.0
478,0.0
479,0.0
480,14.0
481,7.0
482,14.0
483,8.0
484,12.0
485,7.0
486,12.0
487,0.0
488,19.0
489,7.0
490,11.0
491,2.0
492,0.0
493,0.0
494,8.0
495,0.0
496,1.0
497,9.0
498,14.0
499,0.0
500,8.0
501,0.0
502,12.0
503,21.0
504,0.0
505,0.0
506,12.0
507,0.0
508,0.0
509,0.0
510,0.0
511,7.0
512,11.0
513,11.0
514,7.0
515,11.0
516,14.0
517,3.0
518,24.0
519,7.0
520,0.0
521,6.0
522,7.0
523,0.0
524,14.0
525,17.0
526,24.0
527,0.0
528,0.0
529,12.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,12.0
536,0.0
537,0.0
538,0.0
539,12.0
540,0.0
541,7.0
542,12.0
543,0.0
544,13.0
545,11.0
546,24.0
547,4.0
548,12.0
549,4.0
550,0.0
551,7.0
552,1.0
553,14.0
554,0.0
555,11.0
556,12.0
557,13.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,24.0
564,0.0
565,12.0
566,0.0
567,12.0
568,12.0
569,8.0
570,0.0
571,12.0
572,0.0
573,12.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,20.0
583,20.0
584,0.0
585,0.0
586,12.0
587,8.0
588,0.0
589,0.0
590,0.0
591,0.0
592,7.0
593,14.0
594,8.0
595,0.0
596,0.0
597,12.0
598,0.0
599,0.0
600,12.0
601,7.0
602,0.0
603,0.0
604,7.0
605,8.0
606,14.0
607,20.0
608,11.0
609,0.0
610,0.0
611,0.0
612,11.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,12.0
619,12.0
620,12.0
621,0.0
622,12.0
623,7.0
624,7.0
625,11.0
626,0.0
627,24.0
628,14.0
629,0.0
630,12.0
631,14.0
632,0.0
633,1.0
634,13.0
635,12.0
636,0.0
637,14.0
638,12.0
639,8.0
640,0.0
641,7.0
642,0.0
643,7.0
644,0.0
645,4.0
646,6.0
647,0.0
648,0.0
649,14.0
650,12.0
651,0.0
652,12.0
653,0.0
654,7.0
655,21.0
656,12.0
657,7.0
658,0.0
659,12.0
660,7.0
661,0.0
662,7.0
663,12.0
664,11.0
665,11.0
666,2.0
667,0.0
668,0.0
669,7.0
670,14.0
671,0.0
672,0.0
673,0.0
674,11.0
675,0.0
676,14.0
677,0.0
678,7.0
679,0.0
680,14.0
681,24.0
682,0.0
683,0.0
684,0.0
685,14.0
686,7.0
687,0.0
688,12.0
689,12.0
690,7.0
691,0.0
692,0.0
693,12.0
694,0.0
695,0.0
696,14.0
697,12.0
698,0.0
699,14.0
700,7.0
701,0.0
702,0.0
703,7.0
704,14.0
705,12.0
706,11.0
707,7.0
708,24.0
709,0.0
710,7.0
711,12.0
712,0.0
713,14.0
714,8.0
715,0.0
716,13.0
717,15.0
718,0.0
719,7.0
720,0.0
721,14.0
722,0.0
723,12.0
724,12.0
725,0.0
726,0.0
727,11.0
728,7.0
729,0.0
730,0.0
731,0.0
732,7.0
733,18.0
734,0.0
735,7.0
736,14.0
737,12.0
738,12.0
739,0.0
740,11.0
741,12.0
742,11.0
743,0.0
744,7.0
745,14.0
746,12.0
747,0.0
748,0.0
749,0.0
750,13.0
751,14.0
752,7.0
753,12.0
754,12.0
755,7.0
756,7.0
757,0.0
758,13.0
759,0.0
760,0.0
761,0.0
762,12.0
763,12.0
764,13.0
765,4.0
766,13.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,8.0
773,8.0
774,0.0
775,0.0
776,3.0
777,4.0
778,12.0
779,12.0
780,0.0
781,14.0
782,14.0
783,0.0
784,7.0
785,0.0
786,11.0
787,0.0
788,0.0
789,14.0
790,8.0
791,12.0
792,7.0
793,7.0
794,24.0
795,11.0
796,0.0
797,0.0
798,13.0
799,0.0
800,0.0
801,7.0
802,0.0
803,0.0
804,21.0
805,0.0
806,0.0
807,19.0
808,0.0
809,0.0
810,0.0
811,12.0
812,12.0
813,24.0
814,0.0
815,0.0
816,0.0
817,12.0
818,0.0
819,7.0
820,3.0
821,12.0
822,7.0
823,12.0
824,12.0
825,0.0
826,7.0
827,13.0
828,7.0
829,14.0
830,0.0
831,0.0
832,0.0
833,0.0
834,0.0
835,14.0
836,0.0
837,0.0
838,24.0
839,14.0
840,4.0
841,14.0
842,7.0
843,0.0
844,0.0
845,0.0
846,0.0
847,12.0
848,24.0
849,4.0
850,0.0
851,11.0
852,8.0
853,0.0
854,0.0
855,0.0
856,14.0
857,0.0
858,0.0
859,15.0
860,14.0
861,11.0
862,12.0
863,7.0
864,7.0
865,0.0
866,12.0
867,7.0
868,0.0
869,1.0
870,0.0
871,0.0
872,12.0
873,19.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,24.0
880,0.0
881,14.0
882,0.0
883,0.0
884,8.0
885,12.0
886,7.0
887,0.0
888,11.0
889,0.0
890,0.0
891,12.0
892,13.0
893,8.0
894,0.0
895,4.0
896,12.0
897,1.0
898,3.0
899,13.0
900,12.0
901,14.0
902,11.0
903,12.0
904,9.0
905,8.0
906,11.0
907,0.0
908,14.0
909,11.0
910,0.0
911,0.0
912,7.0
913,0.0
914,5.0
915,0.0
916,14.0
917,0.0
918,9.0
919,8.0
920,0.0
921,8.0
922,12.0
923,0.0
924,11.0
925,3.0
926,0.0
927,0.0
928,8.0
929,0.0
930,0.0
931,11.0
932,0.0
933,0.0
934,0.0
935,12.0
936,0.0
937,0.0
938,24.0
939,0.0
940,7.0
941,0.0
942,0.0
943,9.0
944,8.0
945,24.0
946,7.0
947,14.0
948,7.0
949,3.0
950,13.0
951,8.0
952,0.0
953,14.0
954,0.0
955,13.0
956,0.0
957,14.0
958,12.0
959,0.0
960,11.0
961,0.0
962,0.0
963,0.0
964,7.0
965,0.0
966,0.0
967,0.0
968,12.0
969,7.0
970,12.0
971,0.0
972,12.0
973,8.0
974,12.0
