,Population
0,0.0
1,0.0
2,12.0
3,19.0
4,12.0
5,11.0
6,7.0
7,0.0
8,15.0
9,14.0
10,0.0
11,7.0
12,0.0
13,12.0
14,19.0
15,0.0
16,8.0
17,0.0
18,12.0
19,0.0
20,14.0
21,12.0
22,7.0
23,0.0
24,0.0
25,12.0
26,7.0
27,8.0
28,7.0
29,13.0
30,8.0
31,0.0
32,14.0
33,0.0
34,12.0
35,7.0
36,11.0
37,0.0
38,0.0
39,7.0
40,8.0
41,17.0
42,24.0
43,7.0
44,0.0
45,11.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,14.0
52,7.0
53,0.0
54,12.0
55,0.0
56,7.0
57,0.0
58,18.0
59,11.0
60,17.0
61,11.0
62,7.0
63,0.0
64,24.0
65,7.0
66,12.0
67,0.0
68,8.0
69,7.0
70,12.0
71,7.0
72,0.0
73,4.0
74,14.0
75,13.0
76,8.0
77,0.0
78,0.0
79,14.0
80,4.0
81,7.0
82,7.0
83,12.0
84,0.0
85,7.0
86,24.0
87,0.0
88,14.0
89,0.0
90,8.0
91,7.0
92,12.0
93,3.0
94,8.0
95,14.0
96,0.0
97,8.0
98,11.0
99,0.0
100,0.0
101,12.0
102,24.0
103,7.0
104,7.0
105,14.0
106,0.0
107,0.0
108,7.0
109,12.0
110,14.0
111,11.0
112,1.0
113,0.0
114,12.0
115,12.0
116,24.0
117,0.0
118,14.0
119,0.0
120,7.0
121,14.0
122,0.0
123,0.0
124,19.0
125,0.0
126,0.0
127,0.0
128,0.0
129,14.0
130,4.0
131,0.0
132,14.0
133,12.0
134,24.0
135,0.0
136,0.0
137,7.0
138,20.0
139,7.0
140,8.0
141,12.0
142,7.0
143,0.0
144,12.0
145,11.0
146,14.0
147,8.0
148,24.0
149,8.0
150,2.0
151,0.0
152,13.0
153,24.0
154,11.0
155,8.0
156,0.0
157,12.0
158,0.0
159,4.0
160,12.0
161,13.0
162,12.0
163,0.0
164,11.0
165,14.0
166,0.0
167,8.0
168,4.0
169,0.0
170,13.0
171,0.0
172,0.0
173,11.0
174,0.0
175,11.0
176,15.0
177,0.0
178,0.0
179,0.0
180,14.0
181,0.0
182,2.0
183,12.0
184,0.0
185,7.0
186,0.0
187,14.0
188,17.0
189,7.0
190,8.0
191,12.0
192,14.0
193,14.0
194,0.0
195,8.0
196,24.0
197,18.0
198,17.0
199,0.0
200,0.0
201,11.0
202,11.0
203,7.0
204,7.0
205,8.0
206,8.0
207,12.0
208,4.0
209,12.0
210,11.0
211,0.0
212,0.0
213,0.0
214,1.0
215,11.0
216,0.0
217,14.0
218,7.0
219,0.0
220,0.0
221,12.0
222,0.0
223,8.0
224,11.0
225,0.0
226,0.0
227,12.0
228,7.0
229,0.0
230,0.0
231,12.0
232,0.0
233,12.0
234,14.0
235,12.0
236,12.0
237,8.0
238,6.0
239,11.0
240,11.0
241,22.0
242,11.0
243,0.0
244,12.0
245,7.0
246,8.0
247,13.0
248,12.0
249,0.0
250,0.0
251,7.0
252,14.0
253,0.0
254,13.0
255,12.0
256,8.0
257,24.0
258,0.0
259,24.0
260,7.0
261,12.0
262,0.0
263,14.0
264,11.0
265,9.0
266,7.0
267,7.0
268,0.0
269,7.0
270,8.0
271,7.0
272,8.0
273,12.0
274,12.0
275,0.0
276,14.0
277,0.0
278,9.0
279,12.0
280,12.0
281,12.0
282,12.0
283,24.0
284,7.0
285,7.0
286,7.0
287,1.0
288,0.0
289,12.0
290,24.0
291,12.0
292,7.0
293,24.0
294,0.0
295,20.0
296,0.0
297,7.0
298,11.0
299,11.0
300,11.0
301,0.0
302,12.0
303,0.0
304,0.0
305,0.0
306,0.0
307,12.0
308,14.0
309,11.0
310,12.0
311,0.0
312,0.0
313,8.0
314,7.0
315,0.0
316,7.0
317,0.0
318,12.0
319,14.0
320,7.0
321,4.0
322,23.0
323,0.0
324,14.0
325,0.0
326,8.0
327,7.0
328,0.0
329,0.0
330,12.0
331,13.0
332,0.0
333,12.0
334,12.0
335,14.0
336,0.0
337,14.0
338,0.0
339,0.0
340,7.0
341,12.0
342,13.0
343,24.0
344,0.0
345,0.0
346,0.0
347,14.0
348,11.0
349,14.0
350,12.0
351,8.0
352,10.0
353,7.0
354,7.0
355,0.0
356,14.0
357,7.0
358,0.0
359,7.0
360,14.0
361,0.0
362,12.0
363,0.0
364,0.0
365,8.0
366,0.0
367,14.0
368,0.0
369,12.0
370,11.0
371,0.0
372,12.0
373,14.0
374,14.0
375,0.0
376,0.0
377,7.0
378,7.0
379,2.0
380,11.0
381,14.0
382,14.0
383,7.0
384,7.0
385,0.0
386,20.0
387,0.0
388,0.0
389,0.0
390,12.0
391,0.0
392,0.0
393,6.0
394,14.0
395,8.0
396,7.0
397,8.0
398,0.0
399,0.0
400,12.0
401,7.0
402,18.0
403,8.0
404,0.0
405,14.0
406,24.0
407,11.0
408,12.0
409,11.0
410,7.0
411,0.0
412,12.0
413,11.0
414,12.0
415,12.0
416,7.0
417,0.0
418,11.0
419,0.0
420,8.0
421,0.0
422,24.0
423,24.0
424,24.0
425,9.0
426,8.0
427,11.0
428,4.0
429,7.0
430,7.0
431,14.0
432,11.0
433,0.0
434,12.0
435,14.0
436,18.0
437,7.0
438,12.0
439,11.0
440,0.0
441,0.0
442,0.0
443,7.0
444,11.0
445,11.0
446,0.0
447,0.0
448,12.0
449,12.0
450,8.0
451,0.0
452,0.0
453,12.0
454,4.0
455,12.0
456,7.0
457,12.0
458,12.0
459,0.0
460,4.0
461,12.0
462,2.0
463,7.0
464,0.0
465,0.0
466,6.0
467,0.0
468,12.0
469,0.0
470,7.0
471,17.0
472,0.0
473,12.0
474,0.0
475,12.0
476,12.0
477,13.0
478,8.0
479,15.0
480,7.0
481,4.0
482,12.0
483,0.0
484,24.0
485,12.0
486,14.0
487,14.0
488,0.0
489,7.0
490,0.0
491,14.0
492,0.0
493,7.0
494,7.0
495,0.0
496,12.0
497,12.0
498,14.0
499,0.0
500,12.0
501,0.0
502,17.0
503,12.0
504,12.0
505,0.0
506,14.0
507,12.0
508,0.0
509,8.0
510,7.0
511,0.0
512,0.0
513,11.0
514,12.0
515,0.0
516,0.0
517,11.0
518,8.0
519,0.0
520,0.0
521,4.0
522,0.0
523,14.0
524,7.0
525,19.0
526,7.0
527,14.0
528,0.0
529,8.0
530,11.0
531,11.0
532,0.0
533,14.0
534,13.0
535,0.0
536,11.0
537,0.0
538,0.0
539,0.0
540,12.0
541,9.0
542,12.0
543,0.0
544,14.0
545,0.0
546,0.0
547,12.0
548,0.0
549,13.0
550,11.0
551,0.0
552,14.0
553,0.0
554,24.0
555,12.0
556,8.0
557,0.0
558,12.0
559,0.0
560,0.0
561,8.0
562,12.0
563,8.0
564,12.0
565,0.0
566,11.0
567,0.0
568,14.0
569,9.0
570,0.0
571,12.0
